"","val","mean","lower","upper"
"1","0",0.334055383034862,0.259816884092302,0.420071553512077
"2","1",0.318630097034185,0.237382790615152,0.409222979032702
"3","[1,5)",0.43130684154329,0.319312163612112,0.5575700243597
"4","[10,20)",0.44975264894938,0.366011803978231,0.553897466132729
"5","[20,30)",0.334055383034862,0.259816884092302,0.420071553512077
"6","[30,40)",0.300959562101454,0.220689934831509,0.392578154655952
"7","[40,50)",0.332041339023306,0.228041575253716,0.453536501067821
"8","[5,10)",0.392884660113903,0.296231595689116,0.510022124586824
"9","[50,65)",0.427452058159547,0.307557805104797,0.568935463452236
"10","[65,105)",0.387745850385707,0.253229832103452,0.544518990046872
